Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-07-04,Bills,Debit Card,Electricity bill payment,555.12,53.87
2024-07-02,Investment,Cash,Investment in startup,103.18,0.0
2024-07-14,Subscriptions,Debit Card,Gym membership,231.13,19.85
2024-07-16,Entertainment,Net Banking,Movie tickets for the weekend,587.77,2.6
2024-07-29,Travel,UPI,Car rental for the trip,50.91,4.67
2024-07-26,Personal,Cash,Clothing purchase,634.27,20.86
2024-07-16,Investment,Net Banking,Stock purchase,54.12,0.0
2024-07-15,Transportation,Net Banking,Uber ride to the airport,520.94,10.03
2024-07-02,Groceries,Debit Card,Household supplies,741.06,53.0
2024-07-18,Investment,Credit Card,Bond investment,299.47,0.0
2024-07-06,Subscriptions,UPI,Online course fee,693.7,23.35
2024-07-10,Gifts,Credit Card,Gift for a colleague,536.35,44.82
2024-07-09,Bills,Cash,Water bill payment,29.41,1.91
2024-07-02,Bills,Credit Card,Insurance premium payment,685.7,45.02
2024-07-21,Bills,Debit Card,Internet service charge,456.64,27.01
2024-07-09,Entertainment,Debit Card,Video game purchase,845.4,4.01
2024-07-08,Investment,Cash,Retirement account contribution,446.28,0.0
2024-07-04,Travel,Net Banking,Flight tickets to a destination,775.48,75.06
2024-07-12,Food,Net Banking,Lunch with friends,670.31,65.05
2024-07-20,Groceries,Debit Card,Buying fresh produce,321.57,23.87
2024-07-14,Gifts,Credit Card,Anniversary gift,520.51,31.66
2024-07-09,Personal,Credit Card,Books and stationery,474.53,21.73
2024-07-14,Investment,Cash,Real estate investment,896.9,0.0
2024-07-29,Groceries,UPI,Household supplies,382.0,2.57
2024-07-19,Groceries,UPI,Household supplies,651.18,52.69
2024-07-29,Investment,Net Banking,Dividend reinvestment,708.92,0.0
2024-07-10,Transportation,Credit Card,Gas for the car,694.78,35.68
2024-07-12,Subscriptions,Net Banking,Streaming service subscription,453.96,11.57
2024-07-10,Subscriptions,Net Banking,Online course fee,547.3,27.2
2024-07-28,Groceries,Cash,Buying meat and dairy products,823.45,30.36
2024-07-13,Entertainment,UPI,Concert tickets,189.87,17.74
2024-07-29,Entertainment,Net Banking,Dining out with friends,318.81,0.63
2024-07-17,Travel,UPI,Travel insurance,398.67,17.02
2024-07-07,Bills,Net Banking,Internet service charge,818.16,81.23
2024-07-25,Travel,Debit Card,Travel insurance,98.36,7.15
2024-07-28,Food,Debit Card,Snacks for cravings,884.48,34.52
2024-07-23,Bills,Cash,Insurance premium payment,154.8,7.88
2024-07-15,Gifts,UPI,Holiday gift,493.57,14.31
2024-07-21,Entertainment,Credit Card,Video game purchase,689.1,15.45
2024-07-24,Transportation,UPI,Taxi fare to a meeting,789.82,28.81
2024-07-30,Travel,Credit Card,Car rental for the trip,11.72,0.76
2024-07-09,Bills,Cash,Mobile phone bill,469.99,19.29
2024-07-08,Personal,UPI,Clothing purchase,835.14,22.36
2024-07-01,Investment,Net Banking,Real estate investment,808.16,0.0
2024-07-23,Subscriptions,Credit Card,Online course fee,329.63,22.02
2024-07-22,Investment,Net Banking,Stock purchase,963.22,0.0
2024-07-28,Travel,UPI,Car rental for the trip,234.89,5.93
2024-07-09,Bills,Cash,Water bill payment,242.46,0.37
2024-07-09,Travel,UPI,Flight tickets to a destination,927.85,70.04
2024-07-18,Subscriptions,Debit Card,Software subscription,512.8,5.64
2024-07-10,Subscriptions,Cash,Online course fee,764.16,19.56
2024-07-02,Food,UPI,Takeout from a local diner,380.82,33.73
2024-07-22,Transportation,Cash,Uber ride to the airport,528.09,8.2
2024-07-24,Groceries,UPI,Snacks and drinks for the week,951.22,63.88
2024-07-29,Food,Net Banking,Snacks for cravings,60.86,2.22
2024-07-14,Gifts,UPI,Birthday gift for a friend,424.79,5.78
2024-07-29,Bills,Net Banking,Insurance premium payment,181.57,12.85
2024-07-26,Subscriptions,Credit Card,Online course fee,865.26,65.34
2024-07-03,Groceries,UPI,Snacks and drinks for the week,947.36,86.99
2024-07-04,Personal,Net Banking,Personal care products,706.66,52.06
