Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-10-13,Personal,UPI,Books and stationery,385.7,22.92
2024-10-26,Food,UPI,Lunch with friends,642.94,25.25
2024-10-18,Gifts,Debit Card,Gift for a colleague,642.75,6.61
2024-10-27,Bills,UPI,Water bill payment,327.4,24.31
2024-10-20,Bills,Net Banking,Insurance premium payment,326.41,12.42
2024-10-17,Investment,Debit Card,Stock purchase,196.63,0.0
2024-10-08,Entertainment,Credit Card,Dining out with friends,131.03,4.53
2024-10-13,Personal,Net Banking,Books and stationery,965.26,5.16
2024-10-20,Travel,Cash,Flight tickets to a destination,959.89,74.04
2024-10-24,Investment,Debit Card,Retirement account contribution,29.06,0.0
2024-10-22,Entertainment,Debit Card,Streaming service subscription,661.04,64.95
2024-10-18,Entertainment,Cash,Streaming service subscription,560.89,19.53
2024-10-19,Groceries,UPI,Buying meat and dairy products,842.18,30.93
2024-10-19,Groceries,Debit Card,Snacks and drinks for the week,15.7,0.92
2024-10-09,Groceries,Debit Card,Weekly grocery shopping,811.2,43.4
2024-10-14,Entertainment,Cash,Video game purchase,62.64,4.63
2024-10-22,Bills,Net Banking,Electricity bill payment,193.33,4.49
2024-10-22,Food,Debit Card,Dinner at a restaurant,188.97,1.16
2024-10-23,Entertainment,Credit Card,Concert tickets,476.01,21.56
2024-10-03,Travel,Credit Card,Travel insurance,719.58,66.43
2024-10-30,Groceries,UPI,Snacks and drinks for the week,318.36,30.29
