Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-03-30,Personal,Debit Card,Personal care products,956.86,22.93
2024-03-27,Transportation,Net Banking,Taxi fare to a meeting,945.71,93.13
2024-03-25,Subscriptions,Cash,Streaming service subscription,123.69,1.52
2024-03-22,Personal,Net Banking,Hobby supplies,999.06,5.53
2024-03-14,Food,Credit Card,Dinner at a restaurant,329.12,28.39
2024-03-16,Transportation,Cash,Uber ride to the airport,932.52,56.61
2024-03-27,Personal,UPI,Clothing purchase,265.29,24.87
2024-03-09,Food,Credit Card,Snacks for cravings,164.39,5.32
2024-03-09,Gifts,UPI,Holiday gift,6.37,0.38
2024-03-25,Food,Cash,Lunch with friends,535.11,1.71
2024-03-12,Personal,Net Banking,Clothing purchase,311.03,25.27
2024-03-30,Gifts,UPI,Anniversary gift,808.12,55.84
2024-03-05,Personal,Net Banking,Hobby supplies,802.22,39.41
