Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-01-10,Entertainment,Debit Card,Movie tickets for the weekend,993.5,82.61
2024-01-14,Investment,Net Banking,Real estate investment,341.42,0.0
2024-01-15,Groceries,UPI,Snacks and drinks for the week,10.79,0.58
2024-01-25,Food,Credit Card,Coffee and pastries at a café,687.49,35.17
2024-01-30,Entertainment,Debit Card,Video game purchase,675.63,19.34
2024-01-12,Subscriptions,Cash,Monthly magazine subscription,869.02,38.44
2024-01-25,Bills,Credit Card,Water bill payment,214.6,13.15
2024-01-18,Investment,Cash,Retirement account contribution,766.57,0.0
2024-01-01,Groceries,Credit Card,Weekly grocery shopping,425.07,14.99
2024-01-03,Gifts,Debit Card,Anniversary gift,428.42,24.26
2024-01-16,Gifts,UPI,Charity donation,504.7,33.48
2024-01-15,Groceries,UPI,Household supplies,258.65,22.87
2024-01-10,Bills,Cash,Insurance premium payment,920.06,24.08
2024-01-15,Gifts,Cash,Birthday gift for a friend,402.2,2.72
2024-01-22,Entertainment,Cash,Video game purchase,695.92,51.18
2024-01-25,Subscriptions,Debit Card,Streaming service subscription,496.05,7.28
2024-01-22,Transportation,Net Banking,Taxi fare to a meeting,57.08,2.78
2024-01-30,Subscriptions,Net Banking,Streaming service subscription,112.9,0.02
2024-01-20,Travel,Cash,Sightseeing tour tickets,837.18,58.03
2024-01-15,Travel,UPI,Hotel booking for vacation,685.88,22.41
2024-01-04,Subscriptions,Cash,Online course fee,861.02,23.8
2024-01-02,Food,Net Banking,Coffee and pastries at a café,383.88,27.51
2024-01-22,Entertainment,Debit Card,Dining out with friends,871.34,6.32
2024-01-04,Bills,Debit Card,Water bill payment,923.31,15.34
2024-01-24,Groceries,Debit Card,Household supplies,232.18,3.99
2024-01-04,Bills,UPI,Mobile phone bill,71.27,6.83
2024-01-23,Entertainment,UPI,Concert tickets,314.95,14.49
2024-01-09,Subscriptions,UPI,Gym membership,795.05,45.32
2024-01-03,Groceries,Debit Card,Buying fresh produce,66.97,5.48
2024-01-27,Travel,Cash,Hotel booking for vacation,867.84,76.2
2024-01-14,Investment,Debit Card,Mutual fund contribution,993.08,0.0
2024-01-02,Transportation,UPI,Public transport monthly pass,645.02,38.55
2024-01-09,Personal,Debit Card,Clothing purchase,286.67,7.57
2024-01-08,Transportation,Debit Card,Uber ride to the airport,562.44,14.18
2024-01-25,Transportation,Debit Card,Gas for the car,239.4,19.79
2024-01-21,Gifts,Cash,Charity donation,627.93,10.09
2024-01-12,Food,Credit Card,Lunch with friends,333.93,4.85
2024-01-24,Travel,Net Banking,Car rental for the trip,440.92,26.43
2024-01-14,Investment,Net Banking,Dividend reinvestment,749.49,0.0
2024-01-13,Personal,UPI,Personal care products,246.47,24.26
2024-01-28,Gifts,Debit Card,Charity donation,468.52,12.29
2024-01-16,Food,Net Banking,Dinner at a restaurant,550.0,20.83
2024-01-22,Groceries,Credit Card,Household supplies,227.79,13.95
2024-01-28,Personal,Cash,Books and stationery,719.74,14.96
2024-01-18,Travel,UPI,Flight tickets to a destination,824.75,7.32
2024-01-05,Groceries,Cash,Snacks and drinks for the week,871.1,85.39
2024-01-27,Subscriptions,Credit Card,Software subscription,739.26,69.08
2024-01-07,Entertainment,Net Banking,Movie tickets for the weekend,373.66,28.29
2024-01-10,Investment,Debit Card,Bond investment,685.92,0.0
2024-01-06,Travel,Net Banking,Travel insurance,415.05,21.61
2024-01-14,Investment,UPI,Cryptocurrency purchase,881.33,0.0
2024-01-03,Personal,Net Banking,Personal care products,486.94,13.1
2024-01-13,Food,Debit Card,Coffee and pastries at a café,879.14,80.58
2024-01-07,Entertainment,Cash,Movie tickets for the weekend,910.38,83.07
2024-01-01,Subscriptions,Credit Card,Software subscription,628.32,48.59
2024-01-09,Entertainment,Net Banking,Dining out with friends,600.85,52.91
2024-01-07,Investment,Net Banking,Mutual fund contribution,168.95,0.0
